refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.92;514-579;org.activiti.engine.impl.bpmn.parser.BpmnParse.processFlowElements(Collection, ScopeImpl);511-584;org.activiti.engine.impl.bpmn.parser.BpmnParse.processFlowElements(Collection, ScopeImpl, SubProcess)
Change Method Signature;method;0.97;1455-1462;org.activiti.engine.impl.bpmn.parser.BpmnParse.createMuleServiceTask(ActivityImpl, String, List);1445-1452;org.activiti.engine.impl.bpmn.parser.BpmnParse.createMuleServiceTask(ActivityImpl, Task, List)
Change Method Signature;method;0.87;679-760;org.activiti.engine.impl.bpmn.parser.BpmnParse.createScopeStartEvent(ActivityImpl, StartEvent, ScopeImpl);684-765;org.activiti.engine.impl.bpmn.parser.BpmnParse.createScopeStartEvent(ActivityImpl, StartEvent, ScopeImpl, SubProcess)
Change Method Signature;method;0.89;1497-1517;org.activiti.engine.impl.bpmn.parser.BpmnParse.validateFieldDeclarationsForShell(String, List);1487-1507;org.activiti.engine.impl.bpmn.parser.BpmnParse.validateFieldDeclarationsForShell(Task, List)
Change Method Signature;method;0.89;1474-1495;org.activiti.engine.impl.bpmn.parser.BpmnParse.validateFieldDeclarationsForEmail(String, List);1464-1485;org.activiti.engine.impl.bpmn.parser.BpmnParse.validateFieldDeclarationsForEmail(Task, List)
Change Method Signature;method;0.91;1464-1467;org.activiti.engine.impl.bpmn.parser.BpmnParse.createEmailServiceTask(ActivityImpl, String, List);1454-1457;org.activiti.engine.impl.bpmn.parser.BpmnParse.createEmailServiceTask(ActivityImpl, Task, List)
Change Method Signature;method;0.82;600-619;org.activiti.engine.impl.bpmn.parser.BpmnParse.createStartEvent(StartEvent, ScopeImpl);605-624;org.activiti.engine.impl.bpmn.parser.BpmnParse.createStartEvent(StartEvent, ScopeImpl, SubProcess)
Change Method Signature;method;0.86;810-848;org.activiti.engine.impl.bpmn.parser.BpmnParse.validateExclusiveGateway(ActivityImpl);799-838;org.activiti.engine.impl.bpmn.parser.BpmnParse.validateExclusiveGateway(ActivityImpl, ExclusiveGateway)
Change Method Signature;method;0.94;771-792;org.activiti.engine.impl.bpmn.parser.BpmnParse.addEventSubscriptionDeclaration(EventSubscriptionDeclaration, ScopeImpl);776-797;org.activiti.engine.impl.bpmn.parser.BpmnParse.addEventSubscriptionDeclaration(EventSubscriptionDeclaration, EventDefinition, ScopeImpl)
Change Method Signature;method;0.91;1469-1472;org.activiti.engine.impl.bpmn.parser.BpmnParse.createShellServiceTask(ActivityImpl, String, List);1459-1462;org.activiti.engine.impl.bpmn.parser.BpmnParse.createShellServiceTask(ActivityImpl, Task, List)
Change Method Signature;method;0.86;621-636;org.activiti.engine.impl.bpmn.parser.BpmnParse.selectInitial(ActivityImpl, ProcessDefinitionEntity);626-641;org.activiti.engine.impl.bpmn.parser.BpmnParse.selectInitial(ActivityImpl, StartEvent, ProcessDefinitionEntity)
